Full_name,skin_name,Quality,Exterior,Price
折刀（★） | 狩猎网格 (崭新出厂),折刀（★） | 狩猎网格,隐秘,崭新出厂,
折刀（★） | 狩猎网格 (久经沙场),折刀（★） | 狩猎网格,隐秘,久经沙场,563.02
折刀（★） | 狩猎网格 (破损不堪),折刀（★） | 狩猎网格,隐秘,破损不堪,589.00
折刀（★） | 狩猎网格 (战痕累累),折刀（★） | 狩猎网格,隐秘,战痕累累,700.00
折刀（★） | 狩猎网格 (略有磨损),折刀（★） | 狩猎网格,隐秘,略有磨损,637.00
爪子刀（★） | 传说 (崭新出厂),爪子刀（★） | 传说,隐秘,崭新出厂,20102.72
爪子刀（★） | 传说 (久经沙场),爪子刀（★） | 传说,隐秘,久经沙场,7457.82
爪子刀（★） | 传说 (破损不堪),爪子刀（★） | 传说,隐秘,破损不堪,7000.00
爪子刀（★） | 传说 (战痕累累),爪子刀（★） | 传说,隐秘,战痕累累,5300.00
爪子刀（★） | 传说 (略有磨损),爪子刀（★） | 传说,隐秘,略有磨损,12273.25
M4A4（StatTrak™） | 赛博 (崭新出厂),M4A4（StatTrak™） | 赛博,保密,崭新出厂,620.00
M4A4（StatTrak™） | 赛博 (久经沙场),M4A4（StatTrak™） | 赛博,保密,久经沙场,144.62
M4A4（StatTrak™） | 赛博 (破损不堪),M4A4（StatTrak™） | 赛博,保密,破损不堪,
M4A4（StatTrak™） | 赛博 (战痕累累),M4A4（StatTrak™） | 赛博,保密,战痕累累,179.14
M4A4（StatTrak™） | 赛博 (略有磨损),M4A4（StatTrak™） | 赛博,保密,略有磨损,330.00
P90 | 碧绿升藤 (崭新出厂),P90 | 碧绿升藤,工业级,崭新出厂,9.85
P90 | 碧绿升藤 (久经沙场),P90 | 碧绿升藤,工业级,久经沙场,9.70
P90 | 碧绿升藤 (破损不堪),P90 | 碧绿升藤,工业级,破损不堪,
P90 | 碧绿升藤 (战痕累累),P90 | 碧绿升藤,工业级,战痕累累,14.26
P90 | 碧绿升藤 (略有磨损),P90 | 碧绿升藤,工业级,略有磨损,9.89
