Full_name,skin_name,Quality,Exterior,Price
折刀（★） | 狩猎网格 (崭新出厂),折刀（★） | 狩猎网格,隐秘,崭新出厂,
折刀（★） | 狩猎网格 (久经沙场),折刀（★） | 狩猎网格,隐秘,久经沙场,587.48
折刀（★） | 狩猎网格 (破损不堪),折刀（★） | 狩猎网格,隐秘,破损不堪,630.00
折刀（★） | 狩猎网格 (战痕累累),折刀（★） | 狩猎网格,隐秘,战痕累累,700.00
折刀（★） | 狩猎网格 (略有磨损),折刀（★） | 狩猎网格,隐秘,略有磨损,645.00
爪子刀（★） | 传说 (崭新出厂),爪子刀（★） | 传说,隐秘,崭新出厂,20377.00
爪子刀（★） | 传说 (久经沙场),爪子刀（★） | 传说,隐秘,久经沙场,7590.00
爪子刀（★） | 传说 (破损不堪),爪子刀（★） | 传说,隐秘,破损不堪,7000.00
爪子刀（★） | 传说 (战痕累累),爪子刀（★） | 传说,隐秘,战痕累累,5400.00
爪子刀（★） | 传说 (略有磨损),爪子刀（★） | 传说,隐秘,略有磨损,12398.00
M9 刺刀（★） | 渐变之色 (崭新出厂),M9 刺刀（★） | 渐变之色,隐秘,崭新出厂,15566.98
M9 刺刀（★） | 渐变之色 (略有磨损),M9 刺刀（★） | 渐变之色,隐秘,略有磨损,13084.90
M4A4（StatTrak™） | 赛博 (崭新出厂),M4A4（StatTrak™） | 赛博,保密,崭新出厂,645.00
M4A4（StatTrak™） | 赛博 (久经沙场),M4A4（StatTrak™） | 赛博,保密,久经沙场,145.91
M4A4（StatTrak™） | 赛博 (破损不堪),M4A4（StatTrak™） | 赛博,保密,破损不堪,
M4A4（StatTrak™） | 赛博 (战痕累累),M4A4（StatTrak™） | 赛博,保密,战痕累累,178.28
M4A4（StatTrak™） | 赛博 (略有磨损),M4A4（StatTrak™） | 赛博,保密,略有磨损,330.00
P2000（StatTrak™） | 电子脉冲 (崭新出厂),P2000（StatTrak™） | 电子脉冲,军规级,崭新出厂,20.59
P2000（StatTrak™） | 电子脉冲 (久经沙场),P2000（StatTrak™） | 电子脉冲,军规级,久经沙场,15.00
P2000（StatTrak™） | 电子脉冲 (破损不堪),P2000（StatTrak™） | 电子脉冲,军规级,破损不堪,21.68
P2000（StatTrak™） | 电子脉冲 (战痕累累),P2000（StatTrak™） | 电子脉冲,军规级,战痕累累,20.00
P2000（StatTrak™） | 电子脉冲 (略有磨损),P2000（StatTrak™） | 电子脉冲,军规级,略有磨损,18.30
折刀（★） | 森林 DDPAT (崭新出厂),折刀（★） | 森林 DDPAT,隐秘,崭新出厂,1150.00
折刀（★） | 森林 DDPAT (久经沙场),折刀（★） | 森林 DDPAT,隐秘,久经沙场,566.54
折刀（★） | 森林 DDPAT (破损不堪),折刀（★） | 森林 DDPAT,隐秘,破损不堪,711.00
折刀（★） | 森林 DDPAT (战痕累累),折刀（★） | 森林 DDPAT,隐秘,战痕累累,615.00
折刀（★） | 森林 DDPAT (略有磨损),折刀（★） | 森林 DDPAT,隐秘,略有磨损,638.17
P90 | 碧绿升藤 (崭新出厂),P90 | 碧绿升藤,工业级,崭新出厂,9.87
P90 | 碧绿升藤 (久经沙场),P90 | 碧绿升藤,工业级,久经沙场,9.06
P90 | 碧绿升藤 (破损不堪),P90 | 碧绿升藤,工业级,破损不堪,
P90 | 碧绿升藤 (战痕累累),P90 | 碧绿升藤,工业级,战痕累累,14.26
P90 | 碧绿升藤 (略有磨损),P90 | 碧绿升藤,工业级,略有磨损,9.39
爪子刀（★） | 渐变大理石 (崭新出厂),爪子刀（★） | 渐变大理石,隐秘,崭新出厂,13150.00
爪子刀（★） | 渐变大理石 (略有磨损),爪子刀（★） | 渐变大理石,隐秘,略有磨损,12000.00
折刀（★） | 都市伪装 (崭新出厂),折刀（★） | 都市伪装,隐秘,崭新出厂,
折刀（★） | 都市伪装 (久经沙场),折刀（★） | 都市伪装,隐秘,久经沙场,587.25
折刀（★） | 都市伪装 (破损不堪),折刀（★） | 都市伪装,隐秘,破损不堪,
折刀（★） | 都市伪装 (战痕累累),折刀（★） | 都市伪装,隐秘,战痕累累,610.00
折刀（★） | 都市伪装 (略有磨损),折刀（★） | 都市伪装,隐秘,略有磨损,659.90
沙漠之鹰 | 都市 DDPAT (崭新出厂),沙漠之鹰 | 都市 DDPAT,工业级,崭新出厂,159.82
沙漠之鹰 | 都市 DDPAT (久经沙场),沙漠之鹰 | 都市 DDPAT,工业级,久经沙场,7.49
沙漠之鹰 | 都市 DDPAT (破损不堪),沙漠之鹰 | 都市 DDPAT,工业级,破损不堪,17.50
沙漠之鹰 | 都市 DDPAT (战痕累累),沙漠之鹰 | 都市 DDPAT,工业级,战痕累累,6.83
沙漠之鹰 | 都市 DDPAT (略有磨损),沙漠之鹰 | 都市 DDPAT,工业级,略有磨损,15.00
AK-47 | 荒野反叛 (崭新出厂),AK-47 | 荒野反叛,隐秘,崭新出厂,1592.00
AK-47 | 荒野反叛 (久经沙场),AK-47 | 荒野反叛,隐秘,久经沙场,188.50
AK-47 | 荒野反叛 (破损不堪),AK-47 | 荒野反叛,隐秘,破损不堪,
AK-47 | 荒野反叛 (战痕累累),AK-47 | 荒野反叛,隐秘,战痕累累,
AK-47 | 荒野反叛 (略有磨损),AK-47 | 荒野反叛,隐秘,略有磨损,299.56
UMP-45（StatTrak™） | 迷幻 (崭新出厂),UMP-45（StatTrak™） | 迷幻,军规级,崭新出厂,30.00
UMP-45（StatTrak™） | 迷幻 (久经沙场),UMP-45（StatTrak™） | 迷幻,军规级,久经沙场,7.00
UMP-45（StatTrak™） | 迷幻 (略有磨损),UMP-45（StatTrak™） | 迷幻,军规级,略有磨损,8.87
蝴蝶刀（★） | 自动化 (崭新出厂),蝴蝶刀（★） | 自动化,隐秘,崭新出厂,18800.00
蝴蝶刀（★） | 自动化 (久经沙场),蝴蝶刀（★） | 自动化,隐秘,久经沙场,10699.98
蝴蝶刀（★） | 自动化 (破损不堪),蝴蝶刀（★） | 自动化,隐秘,破损不堪,9400.00
蝴蝶刀（★） | 自动化 (战痕累累),蝴蝶刀（★） | 自动化,隐秘,战痕累累,8000.00
蝴蝶刀（★） | 自动化 (略有磨损),蝴蝶刀（★） | 自动化,隐秘,略有磨损,13500.00
PP-野牛 | 化工之绿 (崭新出厂),PP-野牛 | 化工之绿,工业级,崭新出厂,45.90
PP-野牛 | 化工之绿 (久经沙场),PP-野牛 | 化工之绿,工业级,久经沙场,8.40
PP-野牛 | 化工之绿 (破损不堪),PP-野牛 | 化工之绿,工业级,破损不堪,
PP-野牛 | 化工之绿 (战痕累累),PP-野牛 | 化工之绿,工业级,战痕累累,9.53
PP-野牛 | 化工之绿 (略有磨损),PP-野牛 | 化工之绿,工业级,略有磨损,12.31
M4A4 | 地狱烈焰 (崭新出厂),M4A4 | 地狱烈焰,保密,崭新出厂,465.53
M4A4 | 地狱烈焰 (久经沙场),M4A4 | 地狱烈焰,保密,久经沙场,288.00
M4A4 | 地狱烈焰 (破损不堪),M4A4 | 地狱烈焰,保密,破损不堪,348.00
M4A4 | 地狱烈焰 (战痕累累),M4A4 | 地狱烈焰,保密,战痕累累,
M4A4 | 地狱烈焰 (略有磨损),M4A4 | 地狱烈焰,保密,略有磨损,320.00
沙漠之鹰（StatTrak™） | 科林斯遗产 (崭新出厂),沙漠之鹰（StatTrak™） | 科林斯遗产,军规级,崭新出厂,23.60
沙漠之鹰（StatTrak™） | 科林斯遗产 (久经沙场),沙漠之鹰（StatTrak™） | 科林斯遗产,军规级,久经沙场,10.70
沙漠之鹰（StatTrak™） | 科林斯遗产 (破损不堪),沙漠之鹰（StatTrak™） | 科林斯遗产,军规级,破损不堪,30.00
沙漠之鹰（StatTrak™） | 科林斯遗产 (略有磨损),沙漠之鹰（StatTrak™） | 科林斯遗产,军规级,略有磨损,15.50
折刀（★） | 枯焦之色 (崭新出厂),折刀（★） | 枯焦之色,隐秘,崭新出厂,
折刀（★） | 枯焦之色 (久经沙场),折刀（★） | 枯焦之色,隐秘,久经沙场,569.50
折刀（★） | 枯焦之色 (破损不堪),折刀（★） | 枯焦之色,隐秘,破损不堪,
折刀（★） | 枯焦之色 (战痕累累),折刀（★） | 枯焦之色,隐秘,战痕累累,580.00
折刀（★） | 枯焦之色 (略有磨损),折刀（★） | 枯焦之色,隐秘,略有磨损,642.00
蝴蝶刀（★） | 虎牙 (崭新出厂),蝴蝶刀（★） | 虎牙,隐秘,崭新出厂,13234.00
蝴蝶刀（★） | 虎牙 (略有磨损),蝴蝶刀（★） | 虎牙,隐秘,略有磨损,12679.00
P90 | 给爷冲 (崭新出厂),P90 | 给爷冲,受限,崭新出厂,16.19
P90 | 给爷冲 (久经沙场),P90 | 给爷冲,受限,久经沙场,4.51
P90 | 给爷冲 (破损不堪),P90 | 给爷冲,受限,破损不堪,4.30
P90 | 给爷冲 (战痕累累),P90 | 给爷冲,受限,战痕累累,3.89
P90 | 给爷冲 (略有磨损),P90 | 给爷冲,受限,略有磨损,9.76
M4A1 消音型 | 女火神之炽焰 (崭新出厂),M4A1 消音型 | 女火神之炽焰,隐秘,崭新出厂,858.32
M4A1 消音型 | 女火神之炽焰 (久经沙场),M4A1 消音型 | 女火神之炽焰,隐秘,久经沙场,152.15
M4A1 消音型 | 女火神之炽焰 (破损不堪),M4A1 消音型 | 女火神之炽焰,隐秘,破损不堪,114.44
M4A1 消音型 | 女火神之炽焰 (战痕累累),M4A1 消音型 | 女火神之炽焰,隐秘,战痕累累,85.89
