Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-21 12:6,蝴蝶刀（★） | 屠夫 (略有磨损),隐秘,★,匕首,略有磨损,9849.5,当前在售(287)
2023-6-21 12:6,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,11999,当前在售(287)
2023-6-21 12:6,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8789.5,当前在售(287)
2023-6-21 12:6,暗影双匕（★） | 噩梦之夜 (略有磨损),隐秘,★,匕首,略有磨损,789.5,当前在售(10)
2023-6-21 12:6,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,640,当前在售(10)
2023-6-21 12:6,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,644.88,当前在售(10)
2023-6-21 12:6,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,637,当前在售(10)
2023-6-21 12:6,SG 553（纪念品） | 白骨 (略有磨损),消费级,纪念品,步枪,略有磨损,0.12,当前在售(1000+)
2023-6-21 12:6,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.3,当前在售(1000+)
2023-6-21 12:6,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.08,当前在售(1000+)
2023-6-21 12:6,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.09,当前在售(1000+)
2023-6-21 12:6,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.1,当前在售(1000+)
2023-6-21 12:6,P2000（纪念品） | 坚固链甲 (略有磨损),军规级,纪念品,手枪,略有磨损,68.37,当前在售(86)
2023-6-21 12:6,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,77,当前在售(86)
2023-6-21 12:6,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,60.59,当前在售(86)
2023-6-21 12:6,UMP-45 | 紫青之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,12.72,当前在售(101)
2023-6-21 12:6,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,31.3,当前在售(101)
2023-6-21 12:6,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,12.26,当前在售(101)
2023-6-21 12:6,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,12,当前在售(101)
2023-6-21 12:6,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,12.64,当前在售(101)
2023-6-21 12:6,蝴蝶刀（★） | 深红之网 (略有磨损),隐秘,★,匕首,略有磨损,14099,当前在售(313)
2023-6-21 12:6,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,48895.99,当前在售(313)
2023-6-21 12:6,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7070,当前在售(313)
2023-6-21 12:6,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6421.5,当前在售(313)
2023-6-21 12:6,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5550,当前在售(313)
