Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-6 9:24,SG 553 | 青龙 (战痕累累),受限,普通,步枪,战痕累累,3.73,当前在售(1000+)
2023-6-6 9:24,P2000（纪念品） | 渐变琥珀 (略有磨损) ,受限,纪念品,手枪,略有磨损,97.33,当前在售(49)
2023-6-6 9:24,P2000（纪念品） | 渐变琥珀 (崭新出厂),受限,纪念品,手枪,崭新出厂,211,当前在售(49)
2023-6-6 9:24,P2000（纪念品） | 渐变琥珀 (久经沙场),受限,纪念品,手枪,久经沙场,71.77,当前在售(49)
2023-6-6 9:24,P2000（纪念品） | 渐变琥珀 (破损不堪),受限,纪念品,手枪,破损不堪,359,当前在售(49)
2023-6-6 9:24,UMP-45 | 金铋辉煌 (略有磨损) ,受限,普通,微型冲锋枪,略有磨损,21.7,当前在售(111)
2023-6-6 9:24,UMP-45 | 金铋辉煌 (崭新出厂),受限,普通,微型冲锋枪,崭新出厂,32.35,当前在售(111)
2023-6-6 9:24,UMP-45 | 金铋辉煌 (久经沙场),受限,普通,微型冲锋枪,久经沙场,13.7,当前在售(111)
2023-6-6 9:24,UMP-45 | 金铋辉煌 (破损不堪),受限,普通,微型冲锋枪,破损不堪,13.75,当前在售(111)
2023-6-6 9:24,UMP-45 | 金铋辉煌 (战痕累累),受限,普通,微型冲锋枪,战痕累累,11.29,当前在售(111)
2023-6-6 9:24,蝴蝶刀（★） | 传说 (略有磨损) ,隐秘,★,匕首,略有磨损,26799,当前在售(228)
2023-6-6 9:24,蝴蝶刀（★） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,49998.5,当前在售(228)
2023-6-6 9:24,蝴蝶刀（★） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,14000,当前在售(228)
2023-6-6 9:24,蝴蝶刀（★） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,9999,当前在售(228)
2023-6-6 9:24,蝴蝶刀（★） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,7150,当前在售(228)
2023-6-6 9:24,SG 553 | 赛博之力 (略有磨损) ,军规级,普通,步枪,略有磨损,1.9,当前在售(930)
2023-6-6 9:24,SG 553 | 赛博之力 (崭新出厂),军规级,普通,步枪,崭新出厂,3.75,当前在售(930)
2023-6-6 9:24,SG 553 | 赛博之力 (久经沙场),军规级,普通,步枪,久经沙场,1.03,当前在售(930)
2023-6-6 9:24,SG 553 | 赛博之力 (破损不堪),军规级,普通,步枪,破损不堪,0.81,当前在售(930)
2023-6-6 9:24,SG 553 | 赛博之力 (战痕累累),军规级,普通,步枪,战痕累累,0.63,当前在售(930)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 传说 (略有磨损) ,隐秘,★ StatTrak™,匕首,略有磨损,1639.24,当前在售(13)
