Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-14 20:31,蝴蝶刀（★） | 屠夫 (略有磨损),隐秘,★,匕首,略有磨损,10000,当前在售(287)
2023-6-14 20:31,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,12270,当前在售(287)
2023-6-14 20:31,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8870,当前在售(287)
2023-6-14 20:31,暗影双匕（★） | 噩梦之夜 (略有磨损),隐秘,★,匕首,略有磨损,780,当前在售(14)
2023-6-14 20:31,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,630.98,当前在售(14)
2023-6-14 20:31,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,659.5,当前在售(14)
2023-6-14 20:31,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,660,当前在售(14)
2023-6-14 20:31,SG 553（纪念品） | 白骨 (略有磨损),消费级,纪念品,步枪,略有磨损,0.11,当前在售(1000+)
2023-6-14 20:31,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.36,当前在售(1000+)
2023-6-14 20:31,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.06,当前在售(1000+)
2023-6-14 20:31,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.12,当前在售(1000+)
2023-6-14 20:31,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.15,当前在售(1000+)
2023-6-14 20:31,P2000（纪念品） | 坚固链甲 (略有磨损),军规级,纪念品,手枪,略有磨损,71.6,当前在售(83)
2023-6-14 20:31,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,68,当前在售(83)
2023-6-14 20:31,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,79.4,当前在售(83)
2023-6-14 20:31,UMP-45 | 紫青之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,12.4,当前在售(126)
2023-6-14 20:31,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,36.37,当前在售(126)
2023-6-14 20:31,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,9.87,当前在售(126)
2023-6-14 20:31,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,9.67,当前在售(126)
2023-6-14 20:31,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,9.64,当前在售(126)
2023-6-14 20:31,蝴蝶刀（★） | 深红之网 (略有磨损),隐秘,★,匕首,略有磨损,14789.5,当前在售(286)
2023-6-14 20:31,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,46500,当前在售(286)
2023-6-14 20:31,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7130,当前在售(286)
2023-6-14 20:31,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6540,当前在售(286)
2023-6-14 20:31,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5600,当前在售(286)
2023-6-14 20:31,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,997.43,当前在售(12)
2023-6-14 20:31,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1269,当前在售(12)
2023-6-14 20:31,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,843.87,当前在售(12)
2023-6-14 20:31,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,949.99,当前在售(12)
2023-6-14 20:31,暗影双匕（★ StatTrak™） | 大马士革钢 (战痕累累),隐秘,★,匕首,战痕累累,950,当前在售(12)
2023-6-14 20:31,UMP-45 | 金铋辉煌 (略有磨损),受限,普通,微型冲锋枪,略有磨损,20.99,当前在售(107)
2023-6-14 20:31,UMP-45 | 金铋辉煌 (崭新出厂),受限,普通,微型冲锋枪,崭新出厂,30.9,当前在售(107)
2023-6-14 20:31,UMP-45 | 金铋辉煌 (久经沙场),受限,普通,微型冲锋枪,久经沙场,15.54,当前在售(107)
2023-6-14 20:31,UMP-45 | 金铋辉煌 (破损不堪),受限,普通,微型冲锋枪,破损不堪,19.58,当前在售(107)
2023-6-14 20:31,UMP-45 | 金铋辉煌 (战痕累累),受限,普通,微型冲锋枪,战痕累累,11.4,当前在售(107)
2023-6-14 20:31,P2000 | 黑曜石 (略有磨损),受限,普通,手枪,略有磨损,14.59,当前在售(61)
2023-6-14 20:31,P2000 | 黑曜石 (崭新出厂),受限,普通,手枪,崭新出厂,36,当前在售(61)
2023-6-14 20:31,P2000 | 黑曜石 (久经沙场),受限,普通,手枪,久经沙场,8.29,当前在售(61)
2023-6-14 20:31,P2000 | 黑曜石 (破损不堪),受限,普通,手枪,破损不堪,7.65,当前在售(61)
2023-6-14 20:31,P2000 | 黑曜石 (战痕累累),受限,普通,手枪,战痕累累,9.45,当前在售(61)
2023-6-14 20:31,SG 553 | 阿罗哈 (略有磨损),军规级,普通,步枪,略有磨损,0.86,当前在售(911)
2023-6-14 20:31,SG 553 | 阿罗哈 (崭新出厂),军规级,普通,步枪,崭新出厂,1.29,当前在售(911)
2023-6-14 20:31,SG 553 | 阿罗哈 (久经沙场),军规级,普通,步枪,久经沙场,0.36,当前在售(911)
2023-6-14 20:31,SG 553 | 阿罗哈 (破损不堪),军规级,普通,步枪,破损不堪,0.32,当前在售(911)
2023-6-14 20:31,SG 553 | 阿罗哈 (战痕累累),军规级,普通,步枪,战痕累累,0.31,当前在售(911)
2023-6-14 20:31,蝴蝶刀（★） | 表面淬火 (略有磨损),隐秘,★,匕首,略有磨损,6820,当前在售(242)
2023-6-14 20:31,蝴蝶刀（★） | 表面淬火 (崭新出厂),隐秘,★,匕首,崭新出厂,9300,当前在售(242)
2023-6-14 20:31,蝴蝶刀（★） | 表面淬火 (久经沙场),隐秘,★,匕首,久经沙场,6099.5,当前在售(242)
2023-6-14 20:31,蝴蝶刀（★） | 表面淬火 (破损不堪),隐秘,★,匕首,破损不堪,5433,当前在售(242)
2023-6-14 20:31,蝴蝶刀（★） | 表面淬火 (战痕累累),隐秘,★,匕首,战痕累累,5250,当前在售(242)
2023-6-14 20:31,UMP-45 | 逮捕者 (略有磨损),军规级,普通,微型冲锋枪,略有磨损,4.03,当前在售(108)
2023-6-14 20:31,UMP-45 | 逮捕者 (崭新出厂),军规级,普通,微型冲锋枪,崭新出厂,5.99,当前在售(108)
2023-6-14 20:31,UMP-45 | 逮捕者 (久经沙场),军规级,普通,微型冲锋枪,久经沙场,2.6,当前在售(108)
2023-6-14 20:31,UMP-45 | 逮捕者 (破损不堪),军规级,普通,微型冲锋枪,破损不堪,2.32,当前在售(108)
2023-6-14 20:31,UMP-45 | 逮捕者 (战痕累累),军规级,普通,微型冲锋枪,战痕累累,2.19,当前在售(108)
2023-6-14 20:31,蝴蝶刀（★） | 传说 (略有磨损),隐秘,★,匕首,略有磨损,26500,当前在售(244)
2023-6-14 20:31,蝴蝶刀（★） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,49900,当前在售(244)
2023-6-14 20:31,蝴蝶刀（★） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,13919.96,当前在售(244)
2023-6-14 20:31,蝴蝶刀（★） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,9850,当前在售(244)
2023-6-14 20:31,蝴蝶刀（★） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,7139.9,当前在售(244)
2023-6-14 20:31,UMP-45（StatTrak™） | 野蛮剑齿虎 (略有磨损),保密,StatTrak™,微型冲锋枪,略有磨损,57,当前在售(90)
2023-6-14 20:31,UMP-45（StatTrak™） | 野蛮剑齿虎 (崭新出厂),保密,StatTrak™,微型冲锋枪,崭新出厂,146.89,当前在售(90)
