Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,1248.5,当前在售(10)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,1080,当前在售(10)
2023-6-2 20:18,UMP-45 | 逮捕者 (略有磨损) ,军规级,普通,微型冲锋枪,略有磨损,4.17,当前在售(115)
2023-6-2 20:18,UMP-45 | 逮捕者 (崭新出厂),军规级,普通,微型冲锋枪,崭新出厂,6.23,当前在售(115)
2023-6-2 20:18,UMP-45 | 逮捕者 (久经沙场),军规级,普通,微型冲锋枪,久经沙场,2.89,当前在售(115)
2023-6-2 20:18,UMP-45 | 逮捕者 (破损不堪),军规级,普通,微型冲锋枪,破损不堪,2.31,当前在售(115)
2023-6-2 20:18,UMP-45 | 逮捕者 (战痕累累),军规级,普通,微型冲锋枪,战痕累累,2.45,当前在售(115)
2023-6-2 20:18,SG 553 | 青龙 (略有磨损) ,受限,普通,步枪,略有磨损,10,当前在售(1000+)
2023-6-2 20:18,SG 553 | 青龙 (崭新出厂),受限,普通,步枪,崭新出厂,17.2,当前在售(1000+)
2023-6-2 20:18,SG 553 | 青龙 (久经沙场),受限,普通,步枪,久经沙场,5.04,当前在售(1000+)
2023-6-2 20:18,SG 553 | 青龙 (破损不堪),受限,普通,步枪,破损不堪,4.58,当前在售(1000+)
2023-6-2 20:18,SG 553 | 青龙 (战痕累累),受限,普通,步枪,战痕累累,3.98,当前在售(1000+)
2023-6-2 20:18,蝴蝶刀（★） | 表面淬火 (略有磨损) ,隐秘,★,匕首,略有磨损,6766.5,当前在售(248)
2023-6-2 20:18,蝴蝶刀（★） | 表面淬火 (崭新出厂),隐秘,★,匕首,崭新出厂,9088,当前在售(248)
2023-6-2 20:18,蝴蝶刀（★） | 表面淬火 (久经沙场),隐秘,★,匕首,久经沙场,6150,当前在售(248)
2023-6-2 20:18,蝴蝶刀（★） | 表面淬火 (破损不堪),隐秘,★,匕首,破损不堪,5446.5,当前在售(248)
2023-6-2 20:18,蝴蝶刀（★） | 表面淬火 (战痕累累),隐秘,★,匕首,战痕累累,5299,当前在售(248)
2023-6-2 20:18,P2000（纪念品） | 渐变琥珀 (略有磨损) ,受限,纪念品,手枪,略有磨损,97.9,当前在售(47)
2023-6-2 20:18,P2000（纪念品） | 渐变琥珀 (崭新出厂),受限,纪念品,手枪,崭新出厂,211,当前在售(47)
2023-6-2 20:18,P2000（纪念品） | 渐变琥珀 (久经沙场),受限,纪念品,手枪,久经沙场,76.53,当前在售(47)
2023-6-2 20:18,P2000（纪念品） | 渐变琥珀 (破损不堪),受限,纪念品,手枪,破损不堪,360,当前在售(47)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 自动化 (略有磨损) ,隐秘,★ StatTrak™,匕首,略有磨损,1250,当前在售(7)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 自动化 (崭新出厂),隐秘,★,匕首,崭新出厂,1500,当前在售(7)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 自动化 (久经沙场),隐秘,★,匕首,久经沙场,975,当前在售(7)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 自动化 (破损不堪),隐秘,★,匕首,破损不堪,1099.5,当前在售(7)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 自动化 (战痕累累),隐秘,★,匕首,战痕累累,1100,当前在售(7)
2023-6-2 20:18,SG 553 | 赛博之力 (略有磨损) ,军规级,普通,步枪,略有磨损,1.87,当前在售(1000+)
2023-6-2 20:18,SG 553 | 赛博之力 (崭新出厂),军规级,普通,步枪,崭新出厂,3.92,当前在售(1000+)
2023-6-2 20:18,SG 553 | 赛博之力 (久经沙场),军规级,普通,步枪,久经沙场,0.94,当前在售(1000+)
2023-6-2 20:18,SG 553 | 赛博之力 (破损不堪),军规级,普通,步枪,破损不堪,0.78,当前在售(1000+)
2023-6-2 20:18,SG 553 | 赛博之力 (战痕累累),军规级,普通,步枪,战痕累累,0.6,当前在售(1000+)
2023-6-2 20:18,UMP-45（StatTrak™） | 野蛮剑齿虎 (略有磨损) ,保密,StatTrak™,微型冲锋枪,略有磨损,60,当前在售(102)
2023-6-2 20:18,UMP-45（StatTrak™） | 野蛮剑齿虎 (崭新出厂),保密,StatTrak™,微型冲锋枪,崭新出厂,143,当前在售(102)
