Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-21 21:10,蝴蝶刀（★） | 屠夫 (略有磨损),隐秘,★,匕首,略有磨损,9799.5,当前在售(286)
2023-6-21 21:10,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,11899.5,当前在售(286)
2023-6-21 21:10,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8700,当前在售(286)
2023-6-21 21:10,暗影双匕（★） | 噩梦之夜 (略有磨损),隐秘,★,匕首,略有磨损,789.5,当前在售(10)
2023-6-21 21:10,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,655,当前在售(10)
2023-6-21 21:10,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,652.99,当前在售(10)
2023-6-21 21:10,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,631.5,当前在售(10)
2023-6-21 21:10,SG 553（纪念品） | 白骨 (略有磨损),消费级,纪念品,步枪,略有磨损,0.09,当前在售(1000+)
2023-6-21 21:10,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.37,当前在售(1000+)
2023-6-21 21:10,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.07,当前在售(1000+)
2023-6-21 21:10,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.09,当前在售(1000+)
2023-6-21 21:10,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.1,当前在售(1000+)
2023-6-21 21:10,P2000（纪念品） | 坚固链甲 (略有磨损),军规级,纪念品,手枪,略有磨损,67.16,当前在售(87)
2023-6-21 21:10,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,77,当前在售(87)
2023-6-21 21:10,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,60.08,当前在售(87)
2023-6-21 21:10,UMP-45 | 紫青之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,12.88,当前在售(108)
2023-6-21 21:10,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,31.3,当前在售(108)
2023-6-21 21:10,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,12.15,当前在售(108)
2023-6-21 21:10,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,12,当前在售(108)
2023-6-21 21:10,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,12.53,当前在售(108)
2023-6-21 21:10,蝴蝶刀（★） | 深红之网 (略有磨损),隐秘,★,匕首,略有磨损,14000,当前在售(317)
2023-6-21 21:10,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,48895.99,当前在售(317)
2023-6-21 21:10,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7071,当前在售(317)
2023-6-21 21:10,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6411,当前在售(317)
2023-6-21 21:10,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5520,当前在售(317)
2023-6-21 21:10,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,968.6,当前在售(10)
2023-6-21 21:10,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1288.5,当前在售(10)
2023-6-21 21:10,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,790.5,当前在售(10)
2023-6-21 21:10,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,949.99,当前在售(10)
2023-6-21 21:10,暗影双匕（★ StatTrak™） | 大马士革钢 (战痕累累),隐秘,★,匕首,战痕累累,820,当前在售(10)
2023-6-21 21:10,P2000 | 黑曜石 (略有磨损),受限,普通,手枪,略有磨损,12.9,当前在售(69)
2023-6-21 21:10,P2000 | 黑曜石 (崭新出厂),受限,普通,手枪,崭新出厂,37,当前在售(69)
2023-6-21 21:10,P2000 | 黑曜石 (久经沙场),受限,普通,手枪,久经沙场,8.96,当前在售(69)
