Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-3 10:3,蝴蝶刀（★） | 屠夫 (略有磨损) ,隐秘,★,匕首,略有磨损,10100,当前在售(286)
2023-6-3 10:3,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,12620,当前在售(286)
2023-6-3 10:3,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8877.5,当前在售(286)
2023-6-3 10:3,暗影双匕（★） | 噩梦之夜 (略有磨损) ,隐秘,★,匕首,略有磨损,815,当前在售(11)
2023-6-3 10:3,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,699.98,当前在售(11)
2023-6-3 10:3,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,699.5,当前在售(11)
2023-6-3 10:3,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,665.5,当前在售(11)
2023-6-3 10:3,P2000（纪念品） | 坚固链甲 (略有磨损) ,军规级,纪念品,手枪,略有磨损,51.99,当前在售(90)
2023-6-3 10:3,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,64.8,当前在售(90)
2023-6-3 10:3,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,55.25,当前在售(90)
2023-6-3 10:3,SG 553（纪念品） | 白骨 (略有磨损) ,消费级,纪念品,步枪,略有磨损,0.13,当前在售(1000+)
2023-6-3 10:3,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.42,当前在售(1000+)
2023-6-3 10:3,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.1,当前在售(1000+)
2023-6-3 10:3,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.12,当前在售(1000+)
2023-6-3 10:3,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.16,当前在售(1000+)
2023-6-3 10:3,UMP-45 | 紫青之色 (略有磨损) ,消费级,普通,微型冲锋枪,略有磨损,10.87,当前在售(126)
2023-6-3 10:3,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,34.99,当前在售(126)
2023-6-3 10:3,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,9.78,当前在售(126)
2023-6-3 10:3,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,10.5,当前在售(126)
2023-6-3 10:3,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,9.85,当前在售(126)
2023-6-3 10:3,蝴蝶刀（★） | 深红之网 (略有磨损) ,隐秘,★,匕首,略有磨损,15087.5,当前在售(278)
2023-6-3 10:3,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,46000,当前在售(278)
2023-6-3 10:3,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7240,当前在售(278)
2023-6-3 10:3,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6499.99,当前在售(278)
2023-6-3 10:3,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5750,当前在售(278)
2023-6-3 10:3,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损) ,隐秘,★ StatTrak™,匕首,略有磨损,978.49,当前在售(11)
2023-6-3 10:3,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1349.99,当前在售(11)
2023-6-3 10:3,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,891.99,当前在售(11)
2023-6-3 10:3,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,1499.99,当前在售(11)
2023-6-3 10:3,UMP-45 | 金铋辉煌 (略有磨损) ,受限,普通,微型冲锋枪,略有磨损,20.98,当前在售(106)
2023-6-3 10:3,UMP-45 | 金铋辉煌 (崭新出厂),受限,普通,微型冲锋枪,崭新出厂,33.38,当前在售(106)
