Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-12 21:7,蝴蝶刀（★） | 屠夫 (略有磨损),隐秘,★,匕首,略有磨损,10100,当前在售(279)
2023-6-12 21:7,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,12240,当前在售(279)
2023-6-12 21:7,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8850,当前在售(279)
2023-6-12 21:7,暗影双匕（★） | 噩梦之夜 (略有磨损),隐秘,★,匕首,略有磨损,799,当前在售(11)
2023-6-12 21:7,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,634.9,当前在售(11)
2023-6-12 21:7,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,691.99,当前在售(11)
2023-6-12 21:7,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,658,当前在售(11)
2023-6-12 21:7,SG 553（纪念品） | 白骨 (略有磨损),消费级,纪念品,步枪,略有磨损,0.12,当前在售(1000+)
2023-6-12 21:7,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.34,当前在售(1000+)
2023-6-12 21:7,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.08,当前在售(1000+)
2023-6-12 21:7,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.14,当前在售(1000+)
2023-6-12 21:7,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.16,当前在售(1000+)
2023-6-12 21:7,P2000（纪念品） | 坚固链甲 (略有磨损),军规级,纪念品,手枪,略有磨损,66.66,当前在售(78)
2023-6-12 21:7,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,67.89,当前在售(78)
2023-6-12 21:7,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,80,当前在售(78)
2023-6-12 21:7,UMP-45 | 紫青之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,12.91,当前在售(115)
2023-6-12 21:7,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,34,当前在售(115)
2023-6-12 21:7,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,9.99,当前在售(115)
2023-6-12 21:7,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,9.52,当前在售(115)
2023-6-12 21:7,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,9.69,当前在售(115)
2023-6-12 21:7,蝴蝶刀（★） | 深红之网 (略有磨损),隐秘,★,匕首,略有磨损,14799,当前在售(280)
2023-6-12 21:7,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,46899,当前在售(280)
2023-6-12 21:7,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7159.5,当前在售(280)
2023-6-12 21:7,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6549,当前在售(280)
2023-6-12 21:7,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5500,当前在售(280)
2023-6-12 21:7,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,997.99,当前在售(13)
2023-6-12 21:7,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1298.5,当前在售(13)
2023-6-12 21:7,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,847.95,当前在售(13)
2023-6-12 21:7,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,949.99,当前在售(13)
2023-6-12 21:7,SG 553 | 阿罗哈 (略有磨损),军规级,普通,步枪,略有磨损,0.71,当前在售(919)
2023-6-12 21:7,SG 553 | 阿罗哈 (崭新出厂),军规级,普通,步枪,崭新出厂,1.33,当前在售(919)
2023-6-12 21:7,SG 553 | 阿罗哈 (久经沙场),军规级,普通,步枪,久经沙场,0.35,当前在售(919)
2023-6-12 21:7,SG 553 | 阿罗哈 (破损不堪),军规级,普通,步枪,破损不堪,0.35,当前在售(919)
2023-6-12 21:7,SG 553 | 阿罗哈 (战痕累累),军规级,普通,步枪,战痕累累,0.33,当前在售(919)
2023-6-12 21:7,P2000 | 黑曜石 (略有磨损),受限,普通,手枪,略有磨损,16.5,当前在售(53)
2023-6-12 21:7,P2000 | 黑曜石 (崭新出厂),受限,普通,手枪,崭新出厂,32.95,当前在售(53)
2023-6-12 21:7,P2000 | 黑曜石 (久经沙场),受限,普通,手枪,久经沙场,9,当前在售(53)
2023-6-12 21:7,P2000 | 黑曜石 (破损不堪),受限,普通,手枪,破损不堪,6.99,当前在售(53)
2023-6-12 21:7,P2000 | 黑曜石 (战痕累累),受限,普通,手枪,战痕累累,9.82,当前在售(53)
2023-6-12 21:7,UMP-45 | 金铋辉煌 (略有磨损),受限,普通,微型冲锋枪,略有磨损,21.5,当前在售(131)
2023-6-12 21:7,UMP-45 | 金铋辉煌 (崭新出厂),受限,普通,微型冲锋枪,崭新出厂,31.77,当前在售(131)
2023-6-12 21:7,UMP-45 | 金铋辉煌 (久经沙场),受限,普通,微型冲锋枪,久经沙场,13.8,当前在售(131)
2023-6-12 21:7,UMP-45 | 金铋辉煌 (破损不堪),受限,普通,微型冲锋枪,破损不堪,19.89,当前在售(131)
2023-6-12 21:7,UMP-45 | 金铋辉煌 (战痕累累),受限,普通,微型冲锋枪,战痕累累,11.29,当前在售(131)
2023-6-12 21:7,蝴蝶刀（★） | 表面淬火 (略有磨损),隐秘,★,匕首,略有磨损,6790,当前在售(239)
2023-6-12 21:7,蝴蝶刀（★） | 表面淬火 (崭新出厂),隐秘,★,匕首,崭新出厂,9400,当前在售(239)
2023-6-12 21:7,蝴蝶刀（★） | 表面淬火 (久经沙场),隐秘,★,匕首,久经沙场,6145,当前在售(239)
2023-6-12 21:7,蝴蝶刀（★） | 表面淬火 (破损不堪),隐秘,★,匕首,破损不堪,5300,当前在售(239)
2023-6-12 21:7,蝴蝶刀（★） | 表面淬火 (战痕累累),隐秘,★,匕首,战痕累累,5300,当前在售(239)
2023-6-12 21:7,UMP-45 | 逮捕者 (略有磨损),军规级,普通,微型冲锋枪,略有磨损,3.88,当前在售(114)
2023-6-12 21:7,UMP-45 | 逮捕者 (崭新出厂),军规级,普通,微型冲锋枪,崭新出厂,5.97,当前在售(114)
2023-6-12 21:7,UMP-45 | 逮捕者 (久经沙场),军规级,普通,微型冲锋枪,久经沙场,2.86,当前在售(114)
2023-6-12 21:7,UMP-45 | 逮捕者 (破损不堪),军规级,普通,微型冲锋枪,破损不堪,2.35,当前在售(114)
2023-6-12 21:7,UMP-45 | 逮捕者 (战痕累累),军规级,普通,微型冲锋枪,战痕累累,2.24,当前在售(114)
2023-6-12 21:7,暗影双匕（★ StatTrak™） | 传说 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1638.99,当前在售(12)
2023-6-12 21:7,暗影双匕（★ StatTrak™） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,3549.99,当前在售(12)
2023-6-12 21:7,暗影双匕（★ StatTrak™） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,1475.99,当前在售(12)
2023-6-12 21:7,暗影双匕（★ StatTrak™） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,1050,当前在售(12)
2023-6-12 21:7,暗影双匕（★ StatTrak™） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,1078,当前在售(12)
2023-6-12 21:7,SG 553 | 青龙 (略有磨损),受限,普通,步枪,略有磨损,8.84,当前在售(1000+)
2023-6-12 21:7,SG 553 | 青龙 (崭新出厂),受限,普通,步枪,崭新出厂,16.13,当前在售(1000+)
2023-6-12 21:7,SG 553 | 青龙 (久经沙场),受限,普通,步枪,久经沙场,4.73,当前在售(1000+)
2023-6-12 21:7,SG 553 | 青龙 (破损不堪),受限,普通,步枪,破损不堪,4.35,当前在售(1000+)
2023-6-12 21:7,SG 553 | 青龙 (战痕累累),受限,普通,步枪,战痕累累,3.9,当前在售(1000+)
2023-6-12 21:7,UMP-45（StatTrak™） | 野蛮剑齿虎 (略有磨损),保密,StatTrak™,微型冲锋枪,略有磨损,55,当前在售(112)
2023-6-12 21:7,UMP-45（StatTrak™） | 野蛮剑齿虎 (崭新出厂),保密,StatTrak™,微型冲锋枪,崭新出厂,157.5,当前在售(112)
2023-6-12 21:7,UMP-45（StatTrak™） | 野蛮剑齿虎 (久经沙场),保密,StatTrak™,微型冲锋枪,久经沙场,27.38,当前在售(112)
2023-6-12 21:7,UMP-45（StatTrak™） | 野蛮剑齿虎 (破损不堪),保密,StatTrak™,微型冲锋枪,破损不堪,29.7,当前在售(112)
2023-6-12 21:7,UMP-45（StatTrak™） | 野蛮剑齿虎 (战痕累累),保密,StatTrak™,微型冲锋枪,战痕累累,23,当前在售(112)
2023-6-12 21:7,蝴蝶刀（★） | 传说 (略有磨损),隐秘,★,匕首,略有磨损,26555.05,当前在售(240)
2023-6-12 21:7,蝴蝶刀（★） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,49900,当前在售(240)
2023-6-12 21:7,蝴蝶刀（★） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,13999.5,当前在售(240)
2023-6-12 21:7,蝴蝶刀（★） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,9878,当前在售(240)
2023-6-12 21:7,蝴蝶刀（★） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,7125,当前在售(240)
2023-6-12 21:7,P2000（纪念品） | 渐变琥珀 (略有磨损),受限,纪念品,手枪,略有磨损,96.53,当前在售(53)
2023-6-12 21:7,P2000（纪念品） | 渐变琥珀 (崭新出厂),受限,纪念品,手枪,崭新出厂,205,当前在售(53)
2023-6-12 21:7,P2000（纪念品） | 渐变琥珀 (久经沙场),受限,纪念品,手枪,久经沙场,76.72,当前在售(53)
2023-6-12 21:7,P2000（纪念品） | 渐变琥珀 (破损不堪),受限,纪念品,手枪,破损不堪,360,当前在售(53)
2023-6-12 21:7,UMP-45（StatTrak™） | 支架 (略有磨损),受限,StatTrak™,微型冲锋枪,略有磨损,20,当前在售(92)
2023-6-12 21:7,UMP-45（StatTrak™） | 支架 (崭新出厂),受限,StatTrak™,微型冲锋枪,崭新出厂,41.99,当前在售(92)
