Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-18 21:18,蝴蝶刀（★） | 屠夫 (略有磨损),隐秘,★,匕首,略有磨损,9700,当前在售(286)
2023-6-18 21:18,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,12190,当前在售(286)
2023-6-18 21:18,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8900,当前在售(286)
2023-6-18 21:18,暗影双匕（★） | 噩梦之夜 (略有磨损),隐秘,★,匕首,略有磨损,797.5,当前在售(10)
2023-6-18 21:18,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,639.8,当前在售(10)
2023-6-18 21:18,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,636,当前在售(10)
2023-6-18 21:18,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,645,当前在售(10)
2023-6-18 21:18,SG 553（纪念品） | 白骨 (略有磨损),消费级,纪念品,步枪,略有磨损,0.12,当前在售(1000+)
2023-6-18 21:18,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.49,当前在售(1000+)
2023-6-18 21:18,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.09,当前在售(1000+)
2023-6-18 21:18,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.09,当前在售(1000+)
2023-6-18 21:18,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.1,当前在售(1000+)
2023-6-18 21:18,P2000（纪念品） | 坚固链甲 (略有磨损),军规级,纪念品,手枪,略有磨损,68.83,当前在售(85)
2023-6-18 21:18,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,69.4,当前在售(85)
2023-6-18 21:18,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,73.57,当前在售(85)
2023-6-18 21:18,UMP-45 | 紫青之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,11.87,当前在售(131)
2023-6-18 21:18,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,32.64,当前在售(131)
2023-6-18 21:18,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,12.07,当前在售(131)
2023-6-18 21:18,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,12,当前在售(131)
2023-6-18 21:18,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,12.94,当前在售(131)
2023-6-18 21:18,蝴蝶刀（★） | 深红之网 (略有磨损),隐秘,★,匕首,略有磨损,14543,当前在售(299)
2023-6-18 21:18,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,46899,当前在售(299)
2023-6-18 21:18,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7100,当前在售(299)
2023-6-18 21:18,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6349.5,当前在售(299)
2023-6-18 21:18,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5590,当前在售(299)
2023-6-18 21:18,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,996.59,当前在售(9)
2023-6-18 21:18,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1297.5,当前在售(9)
2023-6-18 21:18,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,794.5,当前在售(9)
2023-6-18 21:18,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,949.99,当前在售(9)
2023-6-18 21:18,暗影双匕（★ StatTrak™） | 大马士革钢 (战痕累累),隐秘,★,匕首,战痕累累,820,当前在售(9)
