Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,1090,当前在售(15)
2023-6-20 11:22,UMP-45 | 逮捕者 (略有磨损),军规级,普通,微型冲锋枪,略有磨损,4.04,当前在售(113)
2023-6-20 11:22,UMP-45 | 逮捕者 (崭新出厂),军规级,普通,微型冲锋枪,崭新出厂,5.6,当前在售(113)
2023-6-20 11:22,UMP-45 | 逮捕者 (久经沙场),军规级,普通,微型冲锋枪,久经沙场,2.9,当前在售(113)
2023-6-20 11:22,UMP-45 | 逮捕者 (破损不堪),军规级,普通,微型冲锋枪,破损不堪,2.68,当前在售(113)
2023-6-20 11:22,UMP-45 | 逮捕者 (战痕累累),军规级,普通,微型冲锋枪,战痕累累,2.2,当前在售(113)
2023-6-20 11:22,P2000（纪念品） | 渐变琥珀 (略有磨损),受限,纪念品,手枪,略有磨损,95.5,当前在售(55)
2023-6-20 11:22,P2000（纪念品） | 渐变琥珀 (崭新出厂),受限,纪念品,手枪,崭新出厂,199,当前在售(55)
2023-6-20 11:22,P2000（纪念品） | 渐变琥珀 (久经沙场),受限,纪念品,手枪,久经沙场,69.99,当前在售(55)
2023-6-20 11:22,P2000（纪念品） | 渐变琥珀 (破损不堪),受限,纪念品,手枪,破损不堪,359.99,当前在售(55)
2023-6-20 11:22,SG 553 | 青龙 (略有磨损),受限,普通,步枪,略有磨损,8.62,当前在售(1000+)
2023-6-20 11:22,SG 553 | 青龙 (崭新出厂),受限,普通,步枪,崭新出厂,15.2,当前在售(1000+)
2023-6-20 11:22,SG 553 | 青龙 (久经沙场),受限,普通,步枪,久经沙场,4.27,当前在售(1000+)
2023-6-20 11:22,SG 553 | 青龙 (破损不堪),受限,普通,步枪,破损不堪,3.92,当前在售(1000+)
2023-6-20 11:22,SG 553 | 青龙 (战痕累累),受限,普通,步枪,战痕累累,3.35,当前在售(1000+)
2023-6-20 11:22,蝴蝶刀（★） | 传说 (略有磨损),隐秘,★,匕首,略有磨损,26000,当前在售(245)
2023-6-20 11:22,蝴蝶刀（★） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,48200,当前在售(245)
2023-6-20 11:22,蝴蝶刀（★） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,13569,当前在售(245)
2023-6-20 11:22,蝴蝶刀（★） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,9579.5,当前在售(245)
2023-6-20 11:22,蝴蝶刀（★） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,6888,当前在售(245)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 自动化 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1098.5,当前在售(14)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 自动化 (崭新出厂),隐秘,★,匕首,崭新出厂,1555,当前在售(14)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 自动化 (久经沙场),隐秘,★,匕首,久经沙场,885,当前在售(14)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 自动化 (破损不堪),隐秘,★,匕首,破损不堪,1100,当前在售(14)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 自动化 (战痕累累),隐秘,★,匕首,战痕累累,950,当前在售(14)
2023-6-20 11:22,UMP-45（StatTrak™） | 野蛮剑齿虎 (略有磨损),保密,StatTrak™,微型冲锋枪,略有磨损,61.49,当前在售(99)
2023-6-20 11:22,UMP-45（StatTrak™） | 野蛮剑齿虎 (崭新出厂),保密,StatTrak™,微型冲锋枪,崭新出厂,145.49,当前在售(99)
2023-6-20 11:22,UMP-45（StatTrak™） | 野蛮剑齿虎 (久经沙场),保密,StatTrak™,微型冲锋枪,久经沙场,28.13,当前在售(99)
2023-6-20 11:22,UMP-45（StatTrak™） | 野蛮剑齿虎 (破损不堪),保密,StatTrak™,微型冲锋枪,破损不堪,27.08,当前在售(99)
2023-6-20 11:22,UMP-45（StatTrak™） | 野蛮剑齿虎 (战痕累累),保密,StatTrak™,微型冲锋枪,战痕累累,23.7,当前在售(99)
2023-6-20 11:22,SG 553 | 赛博之力 (略有磨损),军规级,普通,步枪,略有磨损,1.44,当前在售(1000+)
2023-6-20 11:22,SG 553 | 赛博之力 (崭新出厂),军规级,普通,步枪,崭新出厂,3.48,当前在售(1000+)
