Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-19 21:9,蝴蝶刀（★） | 屠夫 (略有磨损),隐秘,★,匕首,略有磨损,9979,当前在售(288)
2023-6-19 21:9,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,12099.5,当前在售(288)
2023-6-19 21:9,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8800,当前在售(288)
2023-6-19 21:9,暗影双匕（★） | 噩梦之夜 (略有磨损),隐秘,★,匕首,略有磨损,793.5,当前在售(11)
2023-6-19 21:9,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,646.98,当前在售(11)
2023-6-19 21:9,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,634,当前在售(11)
2023-6-19 21:9,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,641.5,当前在售(11)
2023-6-19 21:9,SG 553（纪念品） | 白骨 (略有磨损),消费级,纪念品,步枪,略有磨损,0.08,当前在售(1000+)
2023-6-19 21:9,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.35,当前在售(1000+)
2023-6-19 21:9,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.06,当前在售(1000+)
2023-6-19 21:9,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.08,当前在售(1000+)
2023-6-19 21:9,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.1,当前在售(1000+)
2023-6-19 21:9,P2000（纪念品） | 坚固链甲 (略有磨损),军规级,纪念品,手枪,略有磨损,68.21,当前在售(87)
2023-6-19 21:9,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,69.3,当前在售(87)
2023-6-19 21:9,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,70.39,当前在售(87)
2023-6-19 21:9,UMP-45 | 紫青之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,13.09,当前在售(121)
2023-6-19 21:9,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,31.63,当前在售(121)
2023-6-19 21:9,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,12.17,当前在售(121)
2023-6-19 21:9,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,11.99,当前在售(121)
2023-6-19 21:9,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,12.85,当前在售(121)
2023-6-19 21:9,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,969.5,当前在售(11)
2023-6-19 21:9,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1296,当前在售(11)
2023-6-19 21:9,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,792.5,当前在售(11)
2023-6-19 21:9,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,949.99,当前在售(11)
2023-6-19 21:9,暗影双匕（★ StatTrak™） | 大马士革钢 (战痕累累),隐秘,★,匕首,战痕累累,820,当前在售(11)
2023-6-19 21:9,蝴蝶刀（★） | 深红之网 (略有磨损),隐秘,★,匕首,略有磨损,14200,当前在售(304)
2023-6-19 21:9,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,46888.99,当前在售(304)
2023-6-19 21:9,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7100,当前在售(304)
2023-6-19 21:9,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6440,当前在售(304)
2023-6-19 21:9,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5470,当前在售(304)
2023-6-19 21:9,SG 553 | 阿罗哈 (略有磨损),军规级,普通,步枪,略有磨损,0.64,当前在售(989)
2023-6-19 21:9,SG 553 | 阿罗哈 (崭新出厂),军规级,普通,步枪,崭新出厂,1.2,当前在售(989)
2023-6-19 21:9,SG 553 | 阿罗哈 (久经沙场),军规级,普通,步枪,久经沙场,0.35,当前在售(989)
2023-6-19 21:9,SG 553 | 阿罗哈 (破损不堪),军规级,普通,步枪,破损不堪,0.31,当前在售(989)
