Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-14 9:0,蝴蝶刀（★） | 屠夫 (略有磨损),隐秘,★,匕首,略有磨损,10099.5,当前在售(283)
2023-6-14 9:0,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,12300,当前在售(283)
2023-6-14 9:0,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8610,当前在售(283)
2023-6-14 9:0,暗影双匕（★） | 噩梦之夜 (略有磨损),隐秘,★,匕首,略有磨损,790,当前在售(12)
2023-6-14 9:0,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,638.5,当前在售(12)
2023-6-14 9:0,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,660,当前在售(12)
2023-6-14 9:0,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,658.5,当前在售(12)
2023-6-14 9:0,SG 553（纪念品） | 白骨 (略有磨损),消费级,纪念品,步枪,略有磨损,0.09,当前在售(1000+)
2023-6-14 9:0,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.37,当前在售(1000+)
2023-6-14 9:0,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.1,当前在售(1000+)
2023-6-14 9:0,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.09,当前在售(1000+)
2023-6-14 9:0,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.1,当前在售(1000+)
2023-6-14 9:0,P2000（纪念品） | 坚固链甲 (略有磨损),军规级,纪念品,手枪,略有磨损,71.82,当前在售(83)
2023-6-14 9:0,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,67.97,当前在售(83)
2023-6-14 9:0,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,79.62,当前在售(83)
2023-6-14 9:0,UMP-45 | 紫青之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,12.68,当前在售(113)
2023-6-14 9:0,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,36.47,当前在售(113)
2023-6-14 9:0,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,9.89,当前在售(113)
2023-6-14 9:0,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,9.71,当前在售(113)
2023-6-14 9:0,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,9.66,当前在售(113)
2023-6-14 9:0,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,997.49,当前在售(12)
2023-6-14 9:0,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1269,当前在售(12)
2023-6-14 9:0,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,845.91,当前在售(12)
