Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-19 9:57,蝴蝶刀（★） | 屠夫 (略有磨损),隐秘,★,匕首,略有磨损,9995,当前在售(282)
2023-6-19 9:57,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,12150,当前在售(282)
2023-6-19 9:57,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8899,当前在售(282)
2023-6-19 9:57,暗影双匕（★） | 噩梦之夜 (略有磨损),隐秘,★,匕首,略有磨损,795.5,当前在售(10)
2023-6-19 9:57,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,646.99,当前在售(10)
2023-6-19 9:57,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,634,当前在售(10)
2023-6-19 9:57,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,644,当前在售(10)
2023-6-19 9:57,SG 553（纪念品） | 白骨 (略有磨损),消费级,纪念品,步枪,略有磨损,0.09,当前在售(1000+)
2023-6-19 9:57,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.4,当前在售(1000+)
2023-6-19 9:57,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.07,当前在售(1000+)
2023-6-19 9:57,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.1,当前在售(1000+)
2023-6-19 9:57,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.1,当前在售(1000+)
2023-6-19 9:57,P2000（纪念品） | 坚固链甲 (略有磨损),军规级,纪念品,手枪,略有磨损,68.53,当前在售(85)
2023-6-19 9:57,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,69.4,当前在售(85)
2023-6-19 9:57,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,72.97,当前在售(85)
2023-6-19 9:57,UMP-45 | 紫青之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,12.14,当前在售(115)
2023-6-19 9:57,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,32.04,当前在售(115)
2023-6-19 9:57,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,12.07,当前在售(115)
2023-6-19 9:57,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,11.99,当前在售(115)
2023-6-19 9:57,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,12.94,当前在售(115)
2023-6-19 9:57,蝴蝶刀（★） | 深红之网 (略有磨损),隐秘,★,匕首,略有磨损,14500,当前在售(299)
2023-6-19 9:57,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,46888.99,当前在售(299)
2023-6-19 9:57,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7100,当前在售(299)
2023-6-19 9:57,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6299.5,当前在售(299)
2023-6-19 9:57,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5569.5,当前在售(299)
2023-6-19 9:57,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,996.59,当前在售(10)
2023-6-19 9:57,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1297,当前在售(10)
2023-6-19 9:57,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,794,当前在售(10)
2023-6-19 9:57,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,949.99,当前在售(10)
2023-6-19 9:57,暗影双匕（★ StatTrak™） | 大马士革钢 (战痕累累),隐秘,★,匕首,战痕累累,820,当前在售(10)
2023-6-19 9:57,SG 553 | 阿罗哈 (略有磨损),军规级,普通,步枪,略有磨损,0.83,当前在售(927)
2023-6-19 9:57,SG 553 | 阿罗哈 (崭新出厂),军规级,普通,步枪,崭新出厂,1.19,当前在售(927)
2023-6-19 9:57,SG 553 | 阿罗哈 (久经沙场),军规级,普通,步枪,久经沙场,0.37,当前在售(927)
2023-6-19 9:57,SG 553 | 阿罗哈 (破损不堪),军规级,普通,步枪,破损不堪,0.33,当前在售(927)
2023-6-19 9:57,SG 553 | 阿罗哈 (战痕累累),军规级,普通,步枪,战痕累累,0.41,当前在售(927)
2023-6-19 9:57,P2000 | 黑曜石 (略有磨损),受限,普通,手枪,略有磨损,14.5,当前在售(70)
2023-6-19 9:57,P2000 | 黑曜石 (崭新出厂),受限,普通,手枪,崭新出厂,34.77,当前在售(70)
2023-6-19 9:57,P2000 | 黑曜石 (久经沙场),受限,普通,手枪,久经沙场,8.97,当前在售(70)
2023-6-19 9:57,P2000 | 黑曜石 (破损不堪),受限,普通,手枪,破损不堪,6.18,当前在售(70)
2023-6-19 9:57,P2000 | 黑曜石 (战痕累累),受限,普通,手枪,战痕累累,7.66,当前在售(70)
2023-6-19 9:57,蝴蝶刀（★） | 表面淬火 (略有磨损),隐秘,★,匕首,略有磨损,6739.5,当前在售(246)
2023-6-19 9:57,蝴蝶刀（★） | 表面淬火 (崭新出厂),隐秘,★,匕首,崭新出厂,9365.5,当前在售(246)
2023-6-19 9:57,蝴蝶刀（★） | 表面淬火 (久经沙场),隐秘,★,匕首,久经沙场,6045,当前在售(246)
2023-6-19 9:57,蝴蝶刀（★） | 表面淬火 (破损不堪),隐秘,★,匕首,破损不堪,5399,当前在售(246)
2023-6-19 9:57,蝴蝶刀（★） | 表面淬火 (战痕累累),隐秘,★,匕首,战痕累累,5200,当前在售(246)
2023-6-19 9:57,暗影双匕（★ StatTrak™） | 传说 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1598.93,当前在售(14)
2023-6-19 9:57,暗影双匕（★ StatTrak™） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,3487.5,当前在售(14)
2023-6-19 9:57,暗影双匕（★ StatTrak™） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,1398.88,当前在售(14)
2023-6-19 9:57,暗影双匕（★ StatTrak™） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,1150,当前在售(14)
2023-6-19 9:57,暗影双匕（★ StatTrak™） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,1099,当前在售(14)
2023-6-19 9:57,P2000（纪念品） | 渐变琥珀 (略有磨损),受限,纪念品,手枪,略有磨损,95.6,当前在售(58)
2023-6-19 9:57,P2000（纪念品） | 渐变琥珀 (崭新出厂),受限,纪念品,手枪,崭新出厂,199,当前在售(58)
2023-6-19 9:57,P2000（纪念品） | 渐变琥珀 (久经沙场),受限,纪念品,手枪,久经沙场,69.99,当前在售(58)
2023-6-19 9:57,P2000（纪念品） | 渐变琥珀 (破损不堪),受限,纪念品,手枪,破损不堪,360,当前在售(58)
2023-6-19 9:57,蝴蝶刀（★） | 传说 (略有磨损),隐秘,★,匕首,略有磨损,26095,当前在售(244)
2023-6-19 9:57,蝴蝶刀（★） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,47499,当前在售(244)
2023-6-19 9:57,蝴蝶刀（★） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,13800,当前在售(244)
