Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-13 21:53,蝴蝶刀（★） | 屠夫 (略有磨损),隐秘,★,匕首,略有磨损,10099.5,当前在售(283)
2023-6-13 21:53,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,12238.5,当前在售(283)
2023-6-13 21:53,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8650,当前在售(283)
2023-6-13 21:53,暗影双匕（★） | 噩梦之夜 (略有磨损),隐秘,★,匕首,略有磨损,790,当前在售(12)
2023-6-13 21:53,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,638.5,当前在售(12)
2023-6-13 21:53,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,667,当前在售(12)
2023-6-13 21:53,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,658.5,当前在售(12)
2023-6-13 21:53,SG 553（纪念品） | 白骨 (略有磨损),消费级,纪念品,步枪,略有磨损,0.14,当前在售(1000+)
2023-6-13 21:53,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.34,当前在售(1000+)
2023-6-13 21:53,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.09,当前在售(1000+)
2023-6-13 21:53,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.11,当前在售(1000+)
2023-6-13 21:53,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.11,当前在售(1000+)
2023-6-13 21:53,P2000（纪念品） | 坚固链甲 (略有磨损),军规级,纪念品,手枪,略有磨损,72,当前在售(80)
2023-6-13 21:53,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,68,当前在售(80)
2023-6-13 21:53,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,80,当前在售(80)
2023-6-13 21:53,UMP-45 | 紫青之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,12.8,当前在售(116)
2023-6-13 21:53,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,36.77,当前在售(116)
2023-6-13 21:53,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,9.9,当前在售(116)
2023-6-13 21:53,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,9.72,当前在售(116)
2023-6-13 21:53,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,9.64,当前在售(116)
2023-6-13 21:53,蝴蝶刀（★） | 深红之网 (略有磨损),隐秘,★,匕首,略有磨损,14780,当前在售(284)
2023-6-13 21:53,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,46899,当前在售(284)
2023-6-13 21:53,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7100,当前在售(284)
2023-6-13 21:53,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6548.5,当前在售(284)
2023-6-13 21:53,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5565,当前在售(284)
2023-6-13 21:53,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,997.5,当前在售(14)
2023-6-13 21:53,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1275,当前在售(14)
2023-6-13 21:53,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,846.42,当前在售(14)
2023-6-13 21:53,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,949.99,当前在售(14)
2023-6-13 21:53,SG 553 | 阿罗哈 (略有磨损),军规级,普通,步枪,略有磨损,0.7,当前在售(939)
2023-6-13 21:53,SG 553 | 阿罗哈 (崭新出厂),军规级,普通,步枪,崭新出厂,1.22,当前在售(939)
2023-6-13 21:53,SG 553 | 阿罗哈 (久经沙场),军规级,普通,步枪,久经沙场,0.37,当前在售(939)
2023-6-13 21:53,SG 553 | 阿罗哈 (破损不堪),军规级,普通,步枪,破损不堪,0.32,当前在售(939)
2023-6-13 21:53,SG 553 | 阿罗哈 (战痕累累),军规级,普通,步枪,战痕累累,0.31,当前在售(939)
2023-6-13 21:53,P2000 | 黑曜石 (略有磨损),受限,普通,手枪,略有磨损,15.09,当前在售(67)
2023-6-13 21:53,P2000 | 黑曜石 (崭新出厂),受限,普通,手枪,崭新出厂,32.75,当前在售(67)
2023-6-13 21:53,P2000 | 黑曜石 (久经沙场),受限,普通,手枪,久经沙场,8.63,当前在售(67)
2023-6-13 21:53,P2000 | 黑曜石 (破损不堪),受限,普通,手枪,破损不堪,7.94,当前在售(67)
2023-6-13 21:53,P2000 | 黑曜石 (战痕累累),受限,普通,手枪,战痕累累,8.86,当前在售(67)
2023-6-13 21:53,UMP-45 | 金铋辉煌 (略有磨损),受限,普通,微型冲锋枪,略有磨损,21.39,当前在售(124)
2023-6-13 21:53,UMP-45 | 金铋辉煌 (崭新出厂),受限,普通,微型冲锋枪,崭新出厂,31,当前在售(124)
2023-6-13 21:53,UMP-45 | 金铋辉煌 (久经沙场),受限,普通,微型冲锋枪,久经沙场,14.35,当前在售(124)
2023-6-13 21:53,UMP-45 | 金铋辉煌 (破损不堪),受限,普通,微型冲锋枪,破损不堪,19.33,当前在售(124)
2023-6-13 21:53,UMP-45 | 金铋辉煌 (战痕累累),受限,普通,微型冲锋枪,战痕累累,11.09,当前在售(124)
2023-6-13 21:53,暗影双匕（★ StatTrak™） | 传说 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1637.99,当前在售(13)
2023-6-13 21:53,暗影双匕（★ StatTrak™） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,3539.5,当前在售(13)
