Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-9 8:54,蝴蝶刀（★） | 屠夫 (略有磨损),隐秘,★,匕首,略有磨损,10000,当前在售(288)
2023-6-9 8:54,蝴蝶刀（★） | 屠夫 (崭新出厂),隐秘,★,匕首,崭新出厂,12331,当前在售(288)
2023-6-9 8:54,蝴蝶刀（★） | 屠夫 (久经沙场),隐秘,★,匕首,久经沙场,8860,当前在售(288)
2023-6-9 8:54,暗影双匕（★） | 噩梦之夜 (略有磨损),隐秘,★,匕首,略有磨损,813.5,当前在售(10)
2023-6-9 8:54,暗影双匕（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,677.49,当前在售(10)
2023-6-9 8:54,暗影双匕（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,692.5,当前在售(10)
2023-6-9 8:54,暗影双匕（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,640,当前在售(10)
2023-6-9 8:54,SG 553（纪念品） | 白骨 (略有磨损),消费级,纪念品,步枪,略有磨损,0.07,当前在售(1000+)
2023-6-9 8:54,SG 553（纪念品） | 白骨 (崭新出厂),消费级,纪念品,步枪,崭新出厂,0.42,当前在售(1000+)
2023-6-9 8:54,SG 553（纪念品） | 白骨 (久经沙场),消费级,纪念品,步枪,久经沙场,0.1,当前在售(1000+)
2023-6-9 8:54,SG 553（纪念品） | 白骨 (破损不堪),消费级,纪念品,步枪,破损不堪,0.09,当前在售(1000+)
2023-6-9 8:54,SG 553（纪念品） | 白骨 (战痕累累),消费级,纪念品,步枪,战痕累累,0.12,当前在售(1000+)
2023-6-9 8:54,P2000（纪念品） | 坚固链甲 (略有磨损),军规级,纪念品,手枪,略有磨损,51.94,当前在售(83)
2023-6-9 8:54,P2000（纪念品） | 坚固链甲 (崭新出厂),军规级,纪念品,手枪,崭新出厂,64,当前在售(83)
2023-6-9 8:54,P2000（纪念品） | 坚固链甲 (久经沙场),军规级,纪念品,手枪,久经沙场,55,当前在售(83)
2023-6-9 8:54,UMP-45 | 紫青之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,11,当前在售(114)
2023-6-9 8:54,UMP-45 | 紫青之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,37.9,当前在售(114)
2023-6-9 8:54,UMP-45 | 紫青之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,9.28,当前在售(114)
2023-6-9 8:54,UMP-45 | 紫青之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,9.73,当前在售(114)
2023-6-9 8:54,UMP-45 | 紫青之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,9.75,当前在售(114)
2023-6-9 8:54,蝴蝶刀（★） | 深红之网 (略有磨损),隐秘,★,匕首,略有磨损,14500,当前在售(285)
2023-6-9 8:54,蝴蝶刀（★） | 深红之网 (崭新出厂),隐秘,★,匕首,崭新出厂,46899,当前在售(285)
2023-6-9 8:54,蝴蝶刀（★） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,7050,当前在售(285)
2023-6-9 8:54,蝴蝶刀（★） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,6646,当前在售(285)
2023-6-9 8:54,蝴蝶刀（★） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,5699,当前在售(285)
2023-6-9 8:54,暗影双匕（★ StatTrak™） | 大马士革钢 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,999.49,当前在售(12)
2023-6-9 8:54,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1300,当前在售(12)
2023-6-9 8:54,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,883.17,当前在售(12)
2023-6-9 8:54,暗影双匕（★ StatTrak™） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,1499.99,当前在售(12)
2023-6-9 8:54,SG 553 | 阿罗哈 (略有磨损),军规级,普通,步枪,略有磨损,0.71,当前在售(1000+)
2023-6-9 8:54,SG 553 | 阿罗哈 (崭新出厂),军规级,普通,步枪,崭新出厂,1.41,当前在售(1000+)
2023-6-9 8:54,SG 553 | 阿罗哈 (久经沙场),军规级,普通,步枪,久经沙场,0.44,当前在售(1000+)
2023-6-9 8:54,SG 553 | 阿罗哈 (破损不堪),军规级,普通,步枪,破损不堪,0.39,当前在售(1000+)
2023-6-9 8:54,SG 553 | 阿罗哈 (战痕累累),军规级,普通,步枪,战痕累累,0.33,当前在售(1000+)
2023-6-9 8:54,P2000 | 黑曜石 (略有磨损),受限,普通,手枪,略有磨损,16.19,当前在售(52)
2023-6-9 8:54,P2000 | 黑曜石 (崭新出厂),受限,普通,手枪,崭新出厂,34.79,当前在售(52)
2023-6-9 8:54,P2000 | 黑曜石 (久经沙场),受限,普通,手枪,久经沙场,8.96,当前在售(52)
2023-6-9 8:54,P2000 | 黑曜石 (破损不堪),受限,普通,手枪,破损不堪,7.94,当前在售(52)
2023-6-9 8:54,P2000 | 黑曜石 (战痕累累),受限,普通,手枪,战痕累累,7.6,当前在售(52)
2023-6-9 8:54,UMP-45 | 金铋辉煌 (略有磨损),受限,普通,微型冲锋枪,略有磨损,20.89,当前在售(111)
2023-6-9 8:54,UMP-45 | 金铋辉煌 (崭新出厂),受限,普通,微型冲锋枪,崭新出厂,31.58,当前在售(111)
2023-6-9 8:54,UMP-45 | 金铋辉煌 (久经沙场),受限,普通,微型冲锋枪,久经沙场,13,当前在售(111)
2023-6-9 8:54,UMP-45 | 金铋辉煌 (破损不堪),受限,普通,微型冲锋枪,破损不堪,14.7,当前在售(111)
2023-6-9 8:54,UMP-45 | 金铋辉煌 (战痕累累),受限,普通,微型冲锋枪,战痕累累,11.3,当前在售(111)
2023-6-9 8:54,暗影双匕（★ StatTrak™） | 传说 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1639.22,当前在售(12)
2023-6-9 8:54,暗影双匕（★ StatTrak™） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,3549.99,当前在售(12)
2023-6-9 8:54,暗影双匕（★ StatTrak™） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,1479,当前在售(12)
2023-6-9 8:54,暗影双匕（★ StatTrak™） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,1110,当前在售(12)
2023-6-9 8:54,暗影双匕（★ StatTrak™） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,1048,当前在售(12)
2023-6-9 8:54,蝴蝶刀（★） | 表面淬火 (略有磨损),隐秘,★,匕首,略有磨损,6767,当前在售(258)
2023-6-9 8:54,蝴蝶刀（★） | 表面淬火 (崭新出厂),隐秘,★,匕首,崭新出厂,9488,当前在售(258)
2023-6-9 8:54,蝴蝶刀（★） | 表面淬火 (久经沙场),隐秘,★,匕首,久经沙场,6141,当前在售(258)
2023-6-9 8:54,蝴蝶刀（★） | 表面淬火 (破损不堪),隐秘,★,匕首,破损不堪,5498.5,当前在售(258)
2023-6-9 8:54,蝴蝶刀（★） | 表面淬火 (战痕累累),隐秘,★,匕首,战痕累累,5200,当前在售(258)
2023-6-9 8:54,SG 553 | 青龙 (略有磨损),受限,普通,步枪,略有磨损,9.09,当前在售(1000+)
2023-6-9 8:54,SG 553 | 青龙 (崭新出厂),受限,普通,步枪,崭新出厂,17.3,当前在售(1000+)
2023-6-9 8:54,SG 553 | 青龙 (久经沙场),受限,普通,步枪,久经沙场,5,当前在售(1000+)
2023-6-9 8:54,SG 553 | 青龙 (破损不堪),受限,普通,步枪,破损不堪,4.84,当前在售(1000+)
2023-6-9 8:54,SG 553 | 青龙 (战痕累累),受限,普通,步枪,战痕累累,4.5,当前在售(1000+)
2023-6-9 8:54,P2000（纪念品） | 渐变琥珀 (略有磨损),受限,纪念品,手枪,略有磨损,96.93,当前在售(53)
2023-6-9 8:54,P2000（纪念品） | 渐变琥珀 (崭新出厂),受限,纪念品,手枪,崭新出厂,209,当前在售(53)
2023-6-9 8:54,P2000（纪念品） | 渐变琥珀 (久经沙场),受限,纪念品,手枪,久经沙场,76.5,当前在售(53)
2023-6-9 8:54,P2000（纪念品） | 渐变琥珀 (破损不堪),受限,纪念品,手枪,破损不堪,360,当前在售(53)
2023-6-9 8:54,UMP-45 | 逮捕者 (略有磨损),军规级,普通,微型冲锋枪,略有磨损,3.81,当前在售(122)
2023-6-9 8:54,UMP-45 | 逮捕者 (崭新出厂),军规级,普通,微型冲锋枪,崭新出厂,5.8,当前在售(122)
2023-6-9 8:54,UMP-45 | 逮捕者 (久经沙场),军规级,普通,微型冲锋枪,久经沙场,2.95,当前在售(122)
2023-6-9 8:54,UMP-45 | 逮捕者 (破损不堪),军规级,普通,微型冲锋枪,破损不堪,2.87,当前在售(122)
2023-6-9 8:54,UMP-45 | 逮捕者 (战痕累累),军规级,普通,微型冲锋枪,战痕累累,2.3,当前在售(122)
2023-6-9 8:54,暗影双匕（★ StatTrak™） | 自动化 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1250,当前在售(10)
2023-6-9 8:54,暗影双匕（★ StatTrak™） | 自动化 (崭新出厂),隐秘,★,匕首,崭新出厂,1666,当前在售(10)
2023-6-9 8:54,暗影双匕（★ StatTrak™） | 自动化 (久经沙场),隐秘,★,匕首,久经沙场,919.99,当前在售(10)
2023-6-9 8:54,暗影双匕（★ StatTrak™） | 自动化 (破损不堪),隐秘,★,匕首,破损不堪,1099.5,当前在售(10)
2023-6-9 8:54,暗影双匕（★ StatTrak™） | 自动化 (战痕累累),隐秘,★,匕首,战痕累累,951.42,当前在售(10)
2023-6-9 8:54,SG 553 | 赛博之力 (略有磨损),军规级,普通,步枪,略有磨损,1.77,当前在售(1000+)
2023-6-9 8:54,SG 553 | 赛博之力 (崭新出厂),军规级,普通,步枪,崭新出厂,3.75,当前在售(1000+)
2023-6-9 8:54,SG 553 | 赛博之力 (久经沙场),军规级,普通,步枪,久经沙场,0.86,当前在售(1000+)
2023-6-9 8:54,SG 553 | 赛博之力 (破损不堪),军规级,普通,步枪,破损不堪,0.73,当前在售(1000+)
2023-6-9 8:54,SG 553 | 赛博之力 (战痕累累),军规级,普通,步枪,战痕累累,0.81,当前在售(1000+)
2023-6-9 8:54,P2000 | 绝命密电 (略有磨损),军规级,普通,手枪,略有磨损,82,当前在售(34)
2023-6-9 8:54,P2000 | 绝命密电 (崭新出厂),军规级,普通,手枪,崭新出厂,85,当前在售(34)
2023-6-9 8:54,P2000 | 绝命密电 (久经沙场),军规级,普通,手枪,久经沙场,79.7,当前在售(34)
2023-6-9 8:54,P2000 | 绝命密电 (破损不堪),军规级,普通,手枪,破损不堪,82,当前在售(34)
