Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-11 21:4,蝴蝶刀（★） | 表面淬火 (战痕累累),隐秘,★,匕首,战痕累累,5300,当前在售(245)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 传说 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1639.17,当前在售(12)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,3549.99,当前在售(12)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,1475.99,当前在售(12)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,1080,当前在售(12)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,1078,当前在售(12)
2023-6-11 21:4,P2000（纪念品） | 渐变琥珀 (略有磨损),受限,纪念品,手枪,略有磨损,96.43,当前在售(56)
2023-6-11 21:4,P2000（纪念品） | 渐变琥珀 (崭新出厂),受限,纪念品,手枪,崭新出厂,200,当前在售(56)
2023-6-11 21:4,P2000（纪念品） | 渐变琥珀 (久经沙场),受限,纪念品,手枪,久经沙场,76.72,当前在售(56)
2023-6-11 21:4,P2000（纪念品） | 渐变琥珀 (破损不堪),受限,纪念品,手枪,破损不堪,360,当前在售(56)
2023-6-11 21:4,UMP-45 | 逮捕者 (略有磨损),军规级,普通,微型冲锋枪,略有磨损,4,当前在售(99)
2023-6-11 21:4,UMP-45 | 逮捕者 (崭新出厂),军规级,普通,微型冲锋枪,崭新出厂,5.79,当前在售(99)
2023-6-11 21:4,UMP-45 | 逮捕者 (久经沙场),军规级,普通,微型冲锋枪,久经沙场,2.99,当前在售(99)
2023-6-11 21:4,UMP-45 | 逮捕者 (破损不堪),军规级,普通,微型冲锋枪,破损不堪,2.35,当前在售(99)
2023-6-11 21:4,UMP-45 | 逮捕者 (战痕累累),军规级,普通,微型冲锋枪,战痕累累,2.04,当前在售(99)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 自动化 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1248.5,当前在售(12)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 自动化 (崭新出厂),隐秘,★,匕首,崭新出厂,1666,当前在售(12)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 自动化 (久经沙场),隐秘,★,匕首,久经沙场,958.99,当前在售(12)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 自动化 (破损不堪),隐秘,★,匕首,破损不堪,1099.5,当前在售(12)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 自动化 (战痕累累),隐秘,★,匕首,战痕累累,950.92,当前在售(12)
2023-6-11 21:4,蝴蝶刀（★） | 传说 (略有磨损),隐秘,★,匕首,略有磨损,26469.5,当前在售(242)
